ID,FIRMA
001_SLC.mp4,NOMBRE
002_SLC.mp4,UNIVALLE
003_SLC.mp4,BUENOS_DIAS
004_SLC.mp4,BUENOS_DIAS
005_SLC.mp4,BUENAS_TARDES
006_SLC.mp4,BUENAS_NOCHES
007_SLC.mp4,TRABAJO
008_SLC.mp4,POR_FAVOR
009_SLC.mp4,BONITO
010_SLC.mp4,GRACIAS
011_SLC.mp4,NOMBRE
012_SLC.mp4,UNIVALLE
013_SLC.mp4,BUENOS_DIAS
014_SLC.mp4,BUENAS_TARDES
015_SLC.mp4,BUENAS_NOCHES
016_SLC.mp4,POR_FAVOR
017_SLC.mp4,HOLA
018_SLC.mp4,ADIOS
019_SLC.mp4,TRABAJO
020_SLC.mp4,BONITO
021_SLC.mp4,GRACIAS
022_SLC.mp4,NOMBRE
023_SLC.mp4,UNIVALLE
024_SLC.mp4,BUENOS_DIAS
025_SLC.mp4,BUENAS_TARDES
026_SLC.mp4,BUENAS_NOCHES
027_SLC.mp4,POR_FAVOR
028_SLC.mp4,ADIOS
029_SLC.mp4,HOLA
030_SLC.mp4,TRABAJO
031_SLC.mp4,BONITO
032_SLC.mp4,GRACIAS
033_SLC.mp4,NOMBRE
034_SLC.mp4,UNIVALLE
035_SLC.mp4,BUENAS_NOCHES
036_SLC.mp4,POR_FAVOR
037_SLC.mp4,HOLA
038_SLC.mp4,ADIOS
039_SLC.mp4,TRABAJO
040_SLC.mp4,BONITO
041_SLC.mp4,GRACIAS
